2019-09-18 10:14:05,399 INFO [root] [base_login.py (__init__:15] - 初始化driver对象: <appium.webdriver.webdriver.WebDriver (session="9ed71c2e-f92c-48e0-b9ea-80528e69510c")>
2019-09-18 10:14:05,401 INFO [root] [base_login.py (__init__:15] - 初始化driver对象: <appium.webdriver.webdriver.WebDriver (session="9ed71c2e-f92c-48e0-b9ea-80528e69510c")>
2019-09-18 10:14:05,401 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/img_close') 持续时间: 30 查找频率: 0.2
2019-09-18 10:14:06,700 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/tab_me') 持续时间: 30 查找频率: 0.2
2019-09-18 10:14:08,072 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/textView1') 持续时间: 30 查找频率: 0.2
2019-09-18 10:14:09,703 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_account_textview') 持续时间: 30 查找频率: 0.2
2019-09-18 10:14:10,321 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/logon_account_textview')元素方法
2019-09-18 10:14:11,384 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/logon_account_textview')元素输入13478603122
2019-09-18 10:15:13,850 INFO [root] [base_login.py (__init__:15] - 初始化driver对象: <appium.webdriver.webdriver.WebDriver (session="8fdceb74-7412-486f-85e2-bcb5dc891550")>
2019-09-18 10:15:13,850 INFO [root] [base_login.py (__init__:15] - 初始化driver对象: <appium.webdriver.webdriver.WebDriver (session="8fdceb74-7412-486f-85e2-bcb5dc891550")>
2019-09-18 10:15:13,850 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/img_close') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:15,025 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/tab_me') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:15,733 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/textView1') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:17,511 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_account_textview') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:18,089 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/logon_account_textview')元素方法
2019-09-18 10:15:19,013 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/logon_account_textview')元素输入13478603122
2019-09-18 10:15:19,675 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_password_textview') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:20,200 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/logon_password_textview')元素方法
2019-09-18 10:15:22,313 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/logon_password_textview')元素输入123456
2019-09-18 10:15:22,886 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/logon_button') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:25,451 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:25,552 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/setting_address_manage') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:26,858 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_add_new_btn') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:28,106 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_receipt_name') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:29,316 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_receipt_name')元素方法
2019-09-18 10:15:30,078 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_receipt_name')元素输入李白
2019-09-18 10:15:30,742 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_add_phone') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:31,261 INFO [root] [base_login.py (input_func:32] - 清除('id', 'com.yunmall.lc:id/address_add_phone')元素方法
2019-09-18 10:15:31,967 INFO [root] [base_login.py (input_func:34] - ('id', 'com.yunmall.lc:id/address_add_phone')元素输入13012345678
2019-09-18 10:15:32,628 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_province') 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:34,200 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'浙江省')]") 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:35,520 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'杭州市')]") 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:36,589 INFO [root] [base_login.py (find_element:19] - 查找元素: ('xpath', "//*[contains(@text,'上城区')]") 持续时间: 30 查找频率: 0.2
2019-09-18 10:15:36,670 INFO [root] [base_login.py (find_element:19] - 查找元素: ('id', 'com.yunmall.lc:id/address_detail_addr_info') 持续时间: 30 查找频率: 0.2
